Namespace(filename='tmp.csv')
Sun Jul  1 08:43:17 2018    tmp.csv

         318233 function calls (315963 primitive calls) in 6.239 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      485    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:856(__exit__)
      168    0.001    0.000    0.001    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:716(find_spec)
      279    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       29    0.001    0.000    0.001    0.000 functools.py:43(update_wrapper)
       15    0.000    0.000    0.001    0.000 sre_compile.py:374(_mk_bitmap)
       19    0.000    0.000    0.001    0.000 nosetester.py:518(_numpy_tester)
       19    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1186(__init__)
        6    0.000    0.000    0.001    0.000 abc.py:151(register)
1746/1703    0.001    0.000    0.001    0.000 {built-in method builtins.len}
    79/66    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
        3    0.001    0.000    0.001    0.000 numeric.py:367(extend_all)
        1    0.000    0.000    0.001    0.001 accel.py:22(__init__)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:51(<module>)
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:789(find_spec)
       98    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       73    0.001    0.000    0.001    0.000 enum.py:301(__setattr__)
     11/6    0.000    0.000    0.001    0.000 abc.py:194(__subclasscheck__)
      169    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(__init__)
        3    0.000    0.000    0.001    0.000 enum.py:547(<dictcomp>)
        1    0.000    0.000    0.001    0.001 _iotools.py:3(<module>)
        1    0.001    0.001    0.001    0.001 _datasource.py:35(<module>)
      137    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:390(_check_name_wrapper)
      162    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:419(parent)
      207    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.array}
      137    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1781    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:262(_reset_cache)
       19    0.000    0.000    0.001    0.000 nosetester.py:152(__init__)
       26    0.000    0.000    0.001    0.000 numerictypes.py:229(bitname)
       13    0.000    0.000    0.001    0.000 sre_parse.py:90(closegroup)
        8    0.000    0.000    0.001    0.000 core.py:7863(__init__)
       38    0.001    0.000    0.001    0.000 _inspect.py:67(getargs)
       15    0.001    0.000    0.001    0.000 sre_compile.py:376(<listcomp>)
        1    0.000    0.000    0.001    0.001 numerictypes.py:957(_register_types)
       95    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.001    0.001 ImageFont.py:139(getsize)
      248    0.001    0.000    0.001    0.000 sre_compile.py:101(fixup)
        9    0.000    0.000    0.001    0.000 extras.py:236(__init__)
      266    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.add_docstring}
        1    0.000    0.000    0.001    0.001 pathlib.py:366(_NormalAccessor)
      244    0.000    0.000    0.001    0.000 sre_parse.py:242(match)
       27    0.000    0.000    0.001    0.000 core.py:910(__init__)
        3    0.001    0.000    0.001    0.000 {built-in method _thread.start_new_thread}
        9    0.000    0.000    0.001    0.000 extras.py:240(getdoc)
        9    0.000    0.000    0.001    0.000 datetime.py:338(__new__)
      266    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        2    0.001    0.000    0.001    0.000 {method 'write_byte_data' of 'SMBus' objects}
      165    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      275    0.001    0.000    0.001    0.000 {built-in method from_bytes}
       11    0.000    0.000    0.001    0.000 abc.py:135(<setcomp>)
      173    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:159(__init__)
      648    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
        1    0.000    0.000    0.001    0.001 records.py:36(<module>)
        1    0.000    0.000    0.001    0.001 defchararray.py:17(<module>)
      162    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:310(__init__)
        1    0.000    0.000    0.001    0.001 _compression.py:1(<module>)
      162    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:314(__enter__)
      831    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.001    0.001 hermite.py:59(<module>)
        1    0.000    0.000    0.001    0.001 laguerre.py:59(<module>)
        1    0.000    0.000    0.001    0.001 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.001    0.001 hermite_e.py:59(<module>)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
       43    0.000    0.000    0.001    0.000 enum.py:8(_is_descriptor)
        9    0.000    0.000    0.001    0.000 pathlib.py:368(_wrap_strfunc)
        1    0.000    0.000    0.001    0.001 polyutils.py:45(<module>)
        1    0.000    0.000    0.001    0.001 chebyshev.py:87(<module>)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000    0.001    0.001 legendre.py:83(<module>)
      696    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
        1    0.001    0.001    0.001    0.001 loader.py:66(TestLoader)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
      158    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
       37    0.000    0.000    0.000    0.000 sre_compile.py:386(_simple)
      179    0.000    0.000    0.000    0.000 sre_parse.py:165(append)
        8    0.000    0.000    0.000    0.000 contextlib.py:106(contextmanager)
       19    0.000    0.000    0.000    0.000 posixpath.py:145(dirname)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
       61    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 numerictypes.py:451(_set_array_types)
      371    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      356    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        8    0.000    0.000    0.000    0.000 core.py:7868(getdoc)
